,City,lat,lon,temp_F,humidity,cloudiness,wind_mph
0,Kamenskiy,50.89,45.49,56.32,43,69,10.8
1,Touros,-5.2,-35.46,69.8,94,40,3.36
2,Rikitea,-23.12,-134.97,73.54,83,50,13.58
3,New Norfolk,-42.78,147.06,46.87,75,90,4.0
4,Lavrentiya,65.58,-171.0,34.93,86,78,8.57
5,Sungai Raya,0.7,108.9,84.74,71,99,1.52
6,Butaritari,3.07,172.79,82.27,69,66,12.08
7,Ambon City,-3.7,128.18,84.2,74,40,8.05
8,Upernavik,72.79,-56.15,25.97,84,100,4.52
9,Chui,-33.7,-53.46,58.87,90,100,8.79
10,Cayenne,4.93,-52.33,73.4,100,20,7.96
11,Katsuura,35.13,140.3,68.0,94,75,10.29
12,Bambanglipuro,-7.95,110.28,86.29,59,99,17.11
13,Cape Town,-33.93,18.42,49.21,87,75,2.24
14,Albany,42.6,-73.97,60.22,78,0,2.26
15,Norman Wells,65.28,-126.83,40.68,90,100,5.37
16,Saint-Philippe,-21.36,55.77,71.33,57,43,4.7
17,Hermanus,-34.42,19.23,50.0,86,41,4.0
18,Lebu,-37.62,-73.65,47.01,82,86,6.8
19,Pevek,69.7,170.31,33.15,97,100,8.46
20,East London,-33.02,27.91,57.2,67,75,18.34
21,Kirakira,-10.45,161.92,83.53,74,100,10.45
22,Hobart,-42.88,147.33,49.64,53,75,24.16
23,Mataura,-46.19,168.86,59.0,63,100,3.0
24,Clyde River,70.47,-68.59,27.14,94,80,6.2
25,Kiruna,67.86,20.23,32.0,98,89,4.7
26,Saskylakh,71.92,114.08,44.44,63,75,6.93
27,Los Llanos de Aridane,28.66,-17.92,78.13,88,40,11.41
28,Sobradinho,-12.83,-39.1,67.05,98,65,2.62
29,Klaksvík,62.23,-6.59,41.0,93,43,2.24
30,Barrow,71.29,-156.79,32.0,98,90,9.17
31,Khatanga,71.97,102.5,43.63,60,90,16.08
32,Ushuaia,-54.8,-68.3,44.6,70,40,18.34
33,Cidreira,-30.18,-50.21,63.91,89,79,13.91
34,Faanui,-16.48,-151.75,78.96,80,6,13.78
35,Vaini,-21.2,-175.2,75.2,83,75,9.17
36,Ambulu,-8.35,113.61,87.03,59,62,10.36
37,Bredasdorp,-34.53,20.04,46.4,87,25,8.05
38,Jamestown,42.1,-79.24,56.32,87,1,4.7
39,Aldergrove,49.06,-122.47,54.9,85,24,1.01
40,Tessalit,20.2,1.01,83.35,14,0,7.9
41,Ilulissat,69.22,-51.1,35.6,80,100,6.93
42,Qaanaaq,77.48,-69.36,12.22,77,0,6.15
43,Cherskiy,68.75,161.3,38.84,84,100,6.2
44,Ostrovnoy,68.05,39.51,48.02,79,89,15.48
45,Punta Arenas,-53.15,-70.92,44.29,65,77,32.21
46,Tasiilaq,65.61,-37.64,35.6,98,100,9.17
47,Yellowknife,62.46,-114.35,45.16,87,99,5.01
48,Longyearbyen,78.22,15.64,28.4,74,75,2.24
49,Richards Bay,-28.78,32.04,68.36,66,44,11.65
50,Busselton,-33.65,115.33,64.65,52,14,17.98
51,Balezino,57.98,53.01,50.47,77,68,3.87
52,Kashgar,39.45,75.98,73.4,16,56,6.71
53,Palana,59.12,159.97,43.32,81,24,9.15
54,Fougères,48.35,-1.2,48.45,93,75,6.93
55,Manadhoo,5.77,73.38,81.57,80,83,9.91
56,Barcelos,41.54,-8.62,50.47,93,11,4.47
57,Tuktoyaktuk,69.45,-133.04,33.51,93,100,15.46
58,Kyaikkami,16.08,97.57,83.34,77,62,5.86
59,Ginda,30.69,78.49,78.8,83,75,4.63
60,Thinadhoo,0.53,72.93,83.07,68,100,6.46
61,Atuona,-9.8,-139.03,78.12,74,6,18.25
62,Arraial do Cabo,-22.97,-42.03,71.17,89,3,19.08
63,Port Alfred,-33.59,26.89,56.95,67,93,25.97
64,Vestmannaeyjar,63.44,-20.27,48.04,89,100,35.12
65,Bitung,1.45,125.18,86.0,70,40,5.82
66,Yar-Sale,66.83,70.83,45.97,74,70,16.15
67,Hithadhoo,-0.6,73.08,82.27,67,100,4.45
68,Torbay,47.67,-52.73,47.48,70,0,5.01
69,Port Hardy,50.7,-127.42,51.87,83,24,8.34
70,Port Blair,11.67,92.75,84.9,72,43,14.47
71,Tateyama,34.98,139.87,68.34,100,75,14.99
72,Lithakia,37.72,20.83,75.2,83,40,6.93
73,Kulhudhuffushi,6.62,73.07,81.5,79,46,9.44
74,Auki,-8.77,160.7,85.98,66,100,4.99
75,Bubaque,11.28,-15.83,81.01,75,99,2.55
76,Azul,-36.78,-59.86,57.0,88,99,3.0
77,Enshi,30.3,109.48,72.95,62,99,2.95
78,Jalingo,8.88,11.37,73.06,92,100,3.38
79,Sirte,31.21,16.59,84.56,31,15,16.82
80,Arrondissement de Saint-Denis,48.92,2.33,48.07,81,0,12.75
81,Kapaa,22.08,-159.32,75.72,69,20,12.75
82,Bud,39.45,-86.18,62.87,82,1,4.9
83,San Cristobal,7.77,-72.22,64.31,81,64,1.59
84,Saint Paul Harbor,57.79,-152.41,48.2,81,90,10.29
